timestep,location,flow,occupy,speed
10836,11,75,1,1
10836,12,59,1,1
10836,13,46,1,1
10836,14,43,1,1
10836,15,7,1,1
10836,16,14,1,1
10836,17,6,1,1
10836,18,34,1,1
10836,19,10,1,1
10836,20,0,1,1
11137,2,23,1,1
11137,3,89,1,1
11137,4,72,1,1
11137,5,10,1,1
11137,6,2,1,1
11137,7,13,1,1
11137,8,5,1,1
11137,9,2,1,1
11137,10,35,1,1
11137,11,28,1,1
11137,12,22,1,1
11137,13,48,1,1
11137,14,47,1,1
11137,15,8,1,1
11137,16,18,1,1
11137,17,5,1,1
11137,18,27,1,1
11137,19,9,1,1
11137,20,2,1,1
11438,2,16,1,1
11438,3,132,1,1
11438,4,102,1,1
11438,5,20,1,1
11438,6,2,1,1
11438,7,6,1,1
11438,8,3,1,1
11438,9,2,1,1
11438,10,8,1,1
11438,11,19,1,1
11438,12,12,1,1
11438,13,44,1,1
11438,14,20,1,1
11438,15,6,1,1
11438,16,11,1,1
11438,17,6,1,1
11438,18,5,1,1
11438,19,7,1,1
11438,20,2,1,1
11739,2,6,1,1
11739,3,97,1,1
11739,4,82,1,1
11739,5,22,1,1
11739,6,3,1,1
11739,7,11,1,1
11739,8,17,1,1
11739,9,5,1,1
11739,10,10,1,1
11739,11,61,1,1
11739,12,46,1,1
11739,13,14,1,1
11739,14,11,1,1
11739,15,7,1,1
11739,16,24,1,1
11739,17,8,1,1
11739,18,18,1,1
11739,19,12,1,1
11739,20,1,1,1
12040,2,0,1,1
12040,3,100,1,1
12040,4,57,1,1
12040,5,14,1,1
12040,6,0,1,1
12040,7,32,1,1
12040,8,10,1,1
12040,9,8,1,1
12040,10,10,1,1
12040,11,55,1,1
12040,12,55,1,1
12040,13,12,1,1
12040,14,37,1,1
12040,15,8,1,1
12040,16,18,1,1
12040,17,8,1,1
12040,18,24,1,1
12040,19,2,1,1
12040,20,2,1,1
12341,2,0,1,1
12341,3,133,1,1
12341,4,86,1,1
12341,5,24,1,1
12341,6,2,1,1
12341,7,12,1,1
12341,8,3,1,1
12341,9,1,1,1
12341,10,26,1,1
12341,11,72,1,1
12341,12,62,1,1
12341,13,38,1,1
12341,14,40,1,1
12341,15,9,1,1
12341,16,20,1,1
12341,17,18,1,1
12341,18,22,1,1
12341,19,11,1,1
12341,20,1,1,1
12642,2,0,1,1
12642,3,110,1,1
12642,4,55,1,1
12642,5,27,1,1
12642,6,3,1,1
12642,7,9,1,1
12642,8,3,1,1
12642,9,4,1,1
12642,10,28,1,1
12642,11,63,1,1
12642,12,38,1,1
12642,13,7,1,1
12642,14,42,1,1
12642,15,9,1,1
12642,16,32,1,1
12642,17,13,1,1
12642,18,29,1,1
12642,19,18,1,1
12642,20,3,1,1
12943,2,0,1,1
12943,3,42,1,1
12943,4,27,1,1
12943,5,10,1,1
12943,6,2,1,1
12943,7,16,1,1
12943,8,4,1,1
12943,9,2,1,1
12943,10,20,1,1
12943,11,29,1,1
12943,12,22,1,1
12943,13,0,1,1
12943,14,39,1,1
12943,15,2,1,1
12943,16,4,1,1
12943,17,5,1,1
12943,18,24,1,1
12943,19,1,1,1
12943,20,0,1,1
13244,2,0,1,1
13244,3,101,1,1
13244,4,59,1,1
13244,5,26,1,1
13244,6,1,1,1
13244,7,7,1,1
13244,8,5,1,1
13244,9,0,1,1
13244,10,14,1,1
13244,11,45,1,1
13244,12,49,1,1
13244,13,5,1,1
13244,14,36,1,1
13244,15,5,1,1
13244,16,11,1,1
13244,17,6,1,1
13244,18,22,1,1
13244,19,3,1,1
13244,20,0,1,1
13545,2,0,1,1
13545,3,103,1,1
13545,4,62,1,1
13545,5,20,1,1
13545,6,1,1,1
13545,7,9,1,1
13545,8,7,1,1
13545,9,4,1,1
13545,10,6,1,1
13545,11,66,1,1
13545,12,43,1,1
13545,13,8,1,1
13545,14,1,1,1
13545,15,8,1,1
13545,16,23,1,1
13545,17,14,1,1
13545,18,8,1,1
13545,19,10,1,1
13545,20,1,1,1
13846,2,0,1,1
13846,3,71,1,1
13846,4,47,1,1
13846,5,13,1,1
13846,6,2,1,1
13846,7,15,1,1
13846,8,5,1,1
13846,9,3,1,1
13846,10,14,1,1
13846,11,44,1,1
13846,12,60,1,1
13846,13,6,1,1
13846,14,16,1,1
13846,15,12,1,1
13846,16,15,1,1
13846,17,8,1,1
13846,18,21,1,1
13846,19,4,1,1
13846,20,2,1,1
14147,2,0,1,1
14147,3,79,1,1
14147,4,31,1,1
14147,5,23,1,1
14147,6,4,1,1
14147,7,8,1,1
14147,8,4,1,1
14147,9,5,1,1
14147,10,20,1,1
14147,11,118,1,1
14147,12,84,1,1
14147,13,6,1,1
14147,14,15,1,1
14147,15,12,1,1
14147,16,33,1,1
14147,17,28,1,1
14147,18,19,1,1
14147,19,13,1,1
14147,20,1,1,1
14448,2,0,1,1
14448,3,60,1,1
14448,4,18,1,1
14448,5,18,1,1
14448,6,2,1,1
14448,7,8,1,1
14448,8,3,1,1
14448,9,3,1,1
14448,10,8,1,1
14448,11,93,1,1
14448,12,66,1,1
14448,13,8,1,1
14448,14,6,1,1
14448,15,7,1,1
14448,16,24,1,1
14448,17,17,1,1
14448,18,5,1,1
14448,19,17,1,1
14448,20,3,1,1
14749,2,0,1,1
14749,3,40,1,1
14749,4,1,1,1
14749,5,5,1,1
14749,6,6,1,1
14749,7,10,1,1
14749,8,5,1,1
14749,9,3,1,1
14749,10,3,1,1
14749,11,50,1,1
14749,12,41,1,1
14749,13,2,1,1
14749,14,2,1,1
14749,15,15,1,1
14749,16,30,1,1
14749,17,14,1,1
14749,18,6,1,1
14749,19,7,1,1
14749,20,3,1,1
15050,2,0,1,1
15050,3,86,1,1
15050,4,22,1,1
15050,5,23,1,1
15050,6,3,1,1
15050,7,6,1,1
15050,8,3,1,1
15050,9,3,1,1
15050,10,14,1,1
15050,11,96,1,1
15050,12,96,1,1
15050,13,11,1,1
15050,14,9,1,1
15050,15,11,1,1
15050,16,16,1,1
15050,17,20,1,1
15050,18,9,1,1
15050,19,15,1,1
15050,20,3,1,1
15351,2,0,1,1
15351,3,65,1,1
15351,4,18,1,1
15351,5,18,1,1
15351,6,1,1,1
15351,7,5,1,1
15351,8,4,1,1
15351,9,1,1,1
15351,10,14,1,1
15351,11,109,1,1
15351,12,70,1,1
15351,13,13,1,1
15351,14,0,1,1
15351,15,7,1,1
15351,16,34,1,1
15351,17,20,1,1
15351,18,13,1,1
15351,19,13,1,1
15351,20,1,1,1
15652,2,0,1,1
15652,3,57,1,1
15652,4,10,1,1
15652,5,10,1,1
15652,6,4,1,1
15652,7,7,1,1
15652,8,7,1,1
15652,9,5,1,1
15652,10,3,1,1
15652,11,60,1,1
15652,12,73,1,1
15652,13,13,1,1
15652,14,0,1,1
15652,15,16,1,1
15652,16,25,1,1
15652,17,22,1,1
15652,18,6,1,1
